!IPSummaryDump 1.3
!creator "ipsumdump -tL -r tcp2_enp132s0f0np0_2911.pcap"
!host inetlab-04
!runtime 1543576359.238223939 (Fri Nov 30 12:12:39 2018)
!data timestamp payload_len
1543522121.334721 0
1543522121.335831 1448
1543522121.337042 1448
1543522121.337142 0
1543522121.338253 1448
1543522121.339464 1448
1543522121.339511 0
1543522121.340676 1448
1543522121.341886 1448
1543522121.341986 0
1543522121.343098 1448
1543522121.344309 1448
1543522121.344355 0
1543522121.345520 1448
1543522121.346731 1448
1543522121.346831 0
1543522121.347943 1448
1543522121.349153 1448
1543522121.349251 0
1543522121.350365 1448
1543522121.351576 1448
1543522121.351680 0
1543522121.352787 1448
1543522121.353999 1448
1543522121.354046 0
1543522121.355210 1448
1543522121.356421 1448
1543522121.356466 0
1543522121.357632 1448
1543522121.358843 1448
1543522121.358942 0
1543522121.360055 1448
1543522121.361265 1448
1543522121.361367 0
1543522121.362477 1448
1543522121.363689 1448
1543522121.363787 0
1543522121.364899 1448
1543522121.366110 1448
1543522121.366157 0
1543522121.367322 1448
1543522121.368533 1448
1543522121.368631 0
1543522121.369744 1448
1543522121.370956 1448
1543522121.371001 0
1543522121.372166 1448
1543522121.373378 1448
1543522121.373478 0
1543522121.374589 1448
1543522121.375800 1448
1543522121.375898 0
1543522121.377012 1448
1543522121.378222 1448
1543522121.378324 0
1543522121.379434 1448
1543522121.380645 1448
1543522121.380692 0
1543522121.381856 1448
1543522121.383067 1448
1543522121.383115 0
1543522121.384279 1448
1543522121.385489 1448
1543522121.385589 0
1543522121.386701 1448
1543522121.387912 1448
1543522121.388014 0
1543522121.389123 1448
1543522121.390335 1448
1543522121.390434 0
1543522121.391546 1448
1543522121.392757 1448
1543522121.392804 0
1543522121.393969 1448
1543522121.395179 1448
1543522121.395285 0
1543522121.396391 1448
1543522121.397603 1448
1543522121.397650 0
1543522121.398813 1448
1543522121.400024 1448
1543522121.400126 0
1543522121.401235 1448
1543522121.402446 1448
1543522121.402545 0
1543522121.403660 1448
1543522121.404870 1448
1543522121.404970 0
1543522121.406081 1448
1543522121.407293 1448
1543522121.407338 0
1543522121.408503 1448
1543522121.409713 1448
1543522121.409760 0
1543522121.410925 1448
1543522121.412135 1448
1543522121.412235 0
1543522121.413348 1448
1543522121.414558 1448
1543522121.414660 0
1543522121.415770 1448
1543522121.416982 1448
1543522121.417082 0
1543522121.418192 1448
1543522121.419403 1448
1543522121.419449 0
1543522121.420615 1448
1543522121.421825 1448
1543522121.421926 0
1543522121.423037 1448
1543522121.424249 1448
1543522121.424292 0
1543522121.425459 1448
1543522121.426671 1448
1543522121.426770 0
1543522121.427882 1448
1543522121.429092 1448
1543522121.429195 0
1543522121.430304 1448
1543522121.431516 1448
1543522121.431617 0
1543522121.432727 1448
1543522121.433940 1448
1543522121.433985 0
1543522121.435149 1448
1543522121.436360 1448
1543522121.436406 0
1543522121.437571 1448
1543522121.438783 1448
1543522121.438883 0
1543522121.439994 1448
1543522121.441204 1448
1543522121.441305 0
1543522121.442416 1448
1543522121.443628 1448
1543522121.443726 0
1543522121.444838 1448
1543522121.446049 1448
1543522121.446096 0
1543522121.447262 1448
1543522121.448472 1448
1543522121.448570 0
1543522121.449683 1448
1543522121.450895 1448
1543522121.450949 0
1543522121.452107 1448
1543522121.453318 1448
1543522121.453417 0
1543522121.454528 1448
1543522121.455739 1448
1543522121.455838 0
1543522121.456951 1448
1543522121.458161 1448
1543522121.458264 0
1543522121.459373 1448
1543522121.460586 1448
1543522121.460634 0
1543522121.461795 1448
1543522121.463006 1448
