!IPSummaryDump 1.3
!creator "ipsumdump -tL -r tcp1_enp132s0f0np0-1.pcap"
!host inetlab-04
!runtime 1542919806.930580605 (Thu Nov 22 21:50:06 2018)
!data timestamp payload_len
1542724496.135347 10136
1542724496.136636 0
1542724496.137467 34752
1542724496.138797 0
1542724496.144774 47784
1542724496.144957 0
1542724496.154727 5792
1542724496.155937 43440
1542724496.156009 0
1542724496.157314 0
1542724496.165023 47784
1542724496.165217 0
1542724496.175020 47784
1542724496.175170 0
1542724496.185046 8688
1542724496.186335 0
1542724496.186823 8688
1542724496.188105 0
1542724496.188646 26064
1542724496.190021 0
1542724496.194129 47784
1542724496.194311 0
1542724496.204123 21720
1542724496.205425 0
1542724496.208628 21720
1542724496.209985 0
1542724496.213206 21720
1542724496.214560 0
1542724496.217710 47784
1542724496.217873 0
1542724496.227706 2896
1542724496.228306 43440
1542724496.228387 0
1542724496.229639 0
1542724496.237393 47784
1542724496.237575 0
1542724496.247388 2896
1542724496.247989 7240
1542724496.248049 0
1542724496.249293 0
1542724496.249502 47784
1542724496.249634 0
1542724496.259497 2896
1542724496.260100 47784
1542724496.260183 0
1542724496.260233 0
1542724496.270096 2896
1542724496.270698 7240
1542724496.270769 0
1542724496.272012 0
1542724496.272214 11584
1542724496.273575 0
1542724496.274673 47784
1542724496.274845 0
1542724496.284630 2896
1542724496.285232 11584
1542724496.285298 0
1542724496.286589 0
1542724496.287694 24616
1542724496.289072 0
1542724496.292806 23168
1542724496.294163 0
1542724496.297652 47784
1542724496.297810 0
1542724496.307642 11584
1542724496.308927 0
1542724496.310063 47784
1542724496.310199 0
1542724496.320058 47784
1542724496.320206 0
1542724496.330050 4344
1542724496.330955 47784
1542724496.331041 0
1542724496.331114 0
1542724496.340949 47784
1542724496.341087 0
1542724496.350942 5792
1542724496.352152 5792
1542724496.352245 0
1542724496.353363 47784
1542724496.353431 0
1542724496.353504 0
1542724496.363357 11584
1542724496.364613 0
1542724496.365777 47784
1542724496.365956 0
1542724496.375810 5792
1542724496.376981 5792
1542724496.377042 0
1542724496.378192 23168
1542724496.378261 0
1542724496.379563 0
1542724496.383040 47784
1542724496.383213 0
1542724496.393070 11584
1542724496.394419 0
1542724496.395454 17376
1542724496.396774 0
1542724496.399086 30408
1542724496.400443 0
1542724496.405484 11584
1542724496.406833 0
1542724496.407869 11584
1542724496.409163 0
1542724496.410290 36200
1542724496.411662 0
1542724496.417899 41992
1542724496.418093 0
1542724496.426645 5792
1542724496.427851 5792
1542724496.427943 0
1542724496.429063 46336
1542724496.429130 0
1542724496.430409 0
1542724496.438754 47784
1542724496.438930 0
1542724496.448747 47784
1542724496.448893 0
1542724496.458741 5792
1542724496.459950 5792
1542724496.460031 0
1542724496.461162 11584
1542724496.461194 0
1542724496.462478 0
1542724496.463583 30408
1542724496.464951 0
1542724496.469943 46336
1542724496.471346 0
1542724496.479632 24616
1542724496.480983 0
1542724496.484782 23168
1542724496.486120 0
1542724496.489663 23168
1542724496.490959 0
1542724496.494468 47784
1542724496.494620 0
1542724496.504465 5792
1542724496.505671 24616
1542724496.505752 0
1542724496.506972 0
1542724496.510858 17376
1542724496.512135 0
1542724496.514454 34752
1542724496.515851 0
1542724496.521721 18824
1542724496.523078 0
1542724496.525657 2896
1542724496.526262 5792
1542724496.526322 0
1542724496.527473 47784
1542724496.527570 0
1542724496.527625 0
1542724496.537466 2896
1542724496.538070 47784
1542724496.538153 0
1542724496.538207 0
1542724496.548066 5792
1542724496.549274 4344
1542724496.549358 0
1542724496.550183 5792
1542724496.550232 0
1542724496.551393 11584
1542724496.551469 0
1542724496.552703 0
1542724496.553816 47784
1542724496.553981 0
1542724496.563847 1448
1542724496.564111 5792
1542724496.565322 11584
1542724496.565404 0
1542724496.566684 0
1542724496.567752 23168
1542724496.569083 0
1542724496.572629 24616
1542724496.574029 0
1542724496.577778 47784
1542724496.577942 0
1542724496.587770 4344
1542724496.588638 13032
1542724496.588750 0
1542724496.589997 0
1542724496.591402 46336
1542724496.592795 0
1542724496.601054 47784
1542724496.601233 0
1542724496.611048 5792
1542724496.612257 47784
1542724496.612335 0
1542724496.612384 0
1542724496.622250 5792
1542724496.623461 47784
1542724496.623539 0
1542724496.623624 0
1542724496.633455 11584
1542724496.634791 0
1542724496.635913 47784
1542724496.636085 0
1542724496.645908 5792
1542724496.647079 11584
1542724496.647141 0
1542724496.648438 0
1542724496.649540 47784
1542724496.649706 0
1542724496.659534 5792
1542724496.660705 5792
1542724496.660770 0
1542724496.661916 5792
1542724496.661988 0
1542724496.663127 23168
1542724496.663204 0
1542724496.664457 0
1542724496.667972 47784
1542724496.668156 0
1542724496.677967 11584
1542724496.679269 0
1542724496.680388 17376
1542724496.681768 0
1542724496.684061 36200
1542724496.685437 0
1542724496.691593 11584
1542724496.692895 0
1542724496.694013 11584
1542724496.695315 0
1542724496.696435 36200
1542724496.697826 0
1542724496.704044 41992
1542724496.704178 0
1542724496.712788 5792
1542724496.714002 5792
1542724496.714072 0
1542724496.715209 5792
1542724496.715278 0
1542724496.716421 47784
1542724496.716493 0
1542724496.716570 0
1542724496.726416 47784
1542724496.726572 0
